Postal code,Town,City/Town/Subdivision,Subdivision of
3960,Opitter,Deelgemeente,3960 Bree
3960,Gerdingen,Deelgemeente,3960 Bree
3960,Bree,Stad,
3960,Tongerlo,Deelgemeente,3960 Bree
3970,Leopoldsburg,Gemeente,
3971,Heppen,Deelgemeente,3970 Leopoldsburg
3980,Tessenderlo,Gemeente,
3990,Grote-brogel,Deelgemeente,3990 Peer
3990,Kleine-brogel,Deelgemeente,3990 Peer
3990,Peer,Stad,
3990,Wijchmaal,Deelgemeente,3990 Peer
4000,Luik,,
4000,Glain,,
4000,Rocourt,,
4020,Jupille-sur-meuse,,
4020,Liège,,
4020,Wandre,,
4020,Bressoux,,
4030,Grivegnee,,
4031,Angleur,,
4032,Chênee,,
4040,Herstal,,
4041,Milmort,,
4041,Vottem,,
4042,Liers,,
4050,Chaudfontaine,,
4051,Vaux-sous-chèvremont,,
4052,Beaufays,,
4053,Embourg,,
4100,Seraing,,
4100,Boncelles,,
4101,Jemeppe-sur-meuse,,
4102,Ougrée,,
4120,Ehein,,
4120,Rotheux-rimière,,
4120,Neupré,,
4121,Neuville-en-condroz,,
4122,Plainevaux,,
4130,Tilff,,
4130,Esneux,,
4140,Gomzé-andoumont,,
4140,Sprimont,,
4140,Rouvreux,,
4140,Dolembreux,,
4141,Louveigné,,
4160,Anthisnes,,
4161,Villers-aux-tours,,
4162,Hody,,
4163,Tavier,,
4170,Comblain-au-pont,,
4171,Poulseur,,
4180,Comblain-fairon,,
4180,Comblain-la-tour,,
4180,Hamoir,,
4181,Filot,,
4190,Vieuxville,,
4190,My,,
4190,Xhoris,,
4190,Ferrières,,
4190,Werbomont,,
4210,Hannêche,,
4210,Marneffe,,
4210,Oteppe,,
4210,Lamontzée,,
4210,Burdinne,,
4217,Waret-l'evêque,,
4217,Lavoir,,
4217,Héron,,
4218,Couthuin,,
4219,Ambresin,,
4219,Wasseiges,,
4219,Acosse,,
4219,Meeffe,,
4250,Geer,,
4250,Lens-saint-servais,,
4250,Hollogne-sur-geer,,
4250,Boëlhe,,
4252,Omal,,
4253,Darion,,
4254,Ligney,,
4257,Corswarem,,
4257,Rosoux-crenwick,,
4257,Berloz,,
4260,Avennes,,
4260,Ciplet,,
4260,Ville-en-hesbaye,,
4260,Fumal,,
4260,Fallais,,
4260,Braives,,
4261,Latinne,,
4263,Tourinne,,
4280,Bertrée,,
4280,Merdorp,,
4280,Hannut,,
4280,Trognée,,
4280,Avernas-le-bauduin,,
4280,Cras-avernas,,
4280,Thisnes,,
4280,Moxhe,,
4280,Avin,,
4280,Crehen,,
4280,Grand-hallet,,
4280,Poucet,,
4280,Lens-saint-remy,,
4280,Abolens,,
4280,Blehen,,
4280,Villers-le-peuplier,,
4280,Petit-hallet,,
4280,Wansin,,
4287,Lincent,,
4287,Pellaines,,
4287,Racour,,
4300,Bettincourt,,
4300,Waremme,,
4300,Lantremange,,
4300,Grand-axhe,,
4300,Oleye,,
4300,Bovenistier,,
4300,Bleret,,
4317,Faimes,,
4317,Celles,,
4317,Borlez,,
4317,Aineffe,,
4317,Les waleffes,,
4317,Viemme,,
4340,Awans,,
4340,Villers-l'evêque,,
4340,Fooz,,
4340,Othée,,
4342,Hognoul,,
4347,Noville,,
4347,Freloux,,
4347,Voroux-goreux,,
4347,Fexhe-le-haut-clocher,,
4347,Roloux,,
4350,Remicourt,,
4350,Pousset,,
4350,Momalle,,
4350,Lamine,,
4351,Hodeige,,
4357,Limont,,
4357,Jeneffe,,
4357,Haneffe,,
4357,Donceel,,
4360,Grandville,,
4360,Lens-sur-geer,,
4360,Oreye,,
4360,Bergilers,,
4360,Otrange,,
4367,Fize-le-marsal,,
4367,Odeur,,
4367,Kemexhe,,
4367,Crisnée,,
4367,Thys,,
4400,Chokier,,
4400,Flémalle,,
4400,Flémalle-grande,,
4400,Flémalle-haute,,
4400,Ivoz-ramet,,
4400,Awirs,,
4400,Gleixhe,,
4400,Mons-lez-liège,,
4420,Saint-nicolas,,
4420,Montegnée,,
4420,Tilleur,,
4430,Ans,,
4431,Loncin,,
4432,Xhendremael,,
4432,Alleur,,
4450,Lantin,,
4450,Juprelle,,
4450,Slins,,
4451,Voroux-lez-liers,,
4452,Wihogne,,
4452,Paifve,,
4453,Villers-saint-siméon,,
4458,Fexhe-slins,,
4460,Horion-hozémont,,
4460,Grâce-berleur,,
4460,Grâce-hollogne,,
4460,Bierset,,
4460,Velroux,,
4460,Hollogne-aux-pierres,,
4470,Saint-georges-sur-meuse,,
4480,Ehein,,
4480,Clermont-sous-huy,,
4480,Engis,,
4480,Hermalle-sous-huy,,
4500,Huy,,
4500,Ben-ahin,,
4500,Tihange,,
4520,Wanze,,
4520,Huccorgne,,
4520,Moha,,
4520,Antheit,,
4520,Bas-oha,,
4520,Vinalmont,,
4530,Fize-fontaine,,
4530,Vieux-waleffe,,
4530,Warnant-dreye,,
4530,Vaux-et-borset,,
4530,Villers-le-bouillet,,
4537,Seraing-le-château,,
4537,Chapon-seraing,,
4537,Verlaine,,
4537,Bodegnée,,
4540,Amay,,
4540,Ampsin,,
4540,Flône,,
4540,Ombret,,
4540,Jehay,,
4550,Nandrin,,
4550,Yernée-fraineux,,
4550,Villers-le-temple,,
4550,Saint-séverin,,
4557,Ramelot,,
4557,Fraiture,,
4557,Seny,,
4557,Abée,,
4557,Soheit-tinlot,,
4557,Tinlot,,
4560,Bois-et-borsu,,
4560,Ocquier,,
4560,Clavier,,
4560,Pailhe,,
4560,Les avins,,
4560,Terwagne,,
4570,Vyle-et-tharoul,,
4570,Marchin,,
4577,Vierset-barse,,
4577,Outrelouxhe,,
4577,Modave,,
4577,Strée-lez-huy,,
4590,Ouffet,,
4590,Ellemelle,,
4590,Warzée,,
4600,Visé,,
4600,Richelle,,
4600,Lixhe,,
4600,Lanaye,,
4601,Argenteau,,
4602,Cheratte,,
4606,Saint-andré,,
4607,Mortroux,,
4607,Bombaye,,
4607,Feneur,,
4607,Dalhem,,
4607,Berneau,,
4608,Warsage,,
4608,Neufchâteau,,
4610,Beyne-heusay,,
4610,Bellaire,,
4610,Queue-du-bois,,
4620,Fléron,,
4621,Retinne,,
4623,Magnée,,
4624,Romsée,,
4630,Soumagne,,
4630,Micheroux,,
4630,Tignée,,
4630,Ayeneux,,
4631,Evegnée,,
4632,Cérexhe-heuseux,,
4633,Melen,,
4650,Herve,,
4650,Grand-rechain,,
4650,Chaineux,,
4650,Julémont,,
4651,Battice,,
4652,Xhendelesse,,
4653,Bolland,,
4654,Charneux,,
4670,Mortier,,
4670,Trembleur,,
4670,Blégny,,
4671,Housse,,
4671,Barchon,,
4671,Saive,,
4672,Saint-remy,,
4680,Oupeye,,
4680,Hermée,,
4681,Hermalle-sous-argenteau,,
4682,Houtain-saint-siméon,,
4682,Heure-le-romain,,
4683,Vivegnis,,
4684,Haccourt,,
4690,Boirs,,
4690,Eben-emael,,
4690,Wonck,,
4690,Bassenge,,
4690,Roclenge-sur-geer,,
4690,Glons,,
4700,Eupen,,
4701,Kettenis,,
4710,Lontzen,,
4711,Walhorn,,
4720,Kelmis,,
4721,Neu-moresnet,,
4728,Hergenrath,,
4730,Hauset,,
4730,Raeren,,
4731,Eynatten,,
4750,Butgenbach,,
4750,Elsenborn,,
4760,Büllingen,,
4760,Manderfeld,,
4761,Rocherath,,
4770,Meyerode,,
4770,Amel,,
4771,Heppenbach,,
4780,Sankt-vith,,
4780,Recht,,
4782,Schönberg,,
4783,Lommersweiler,,
4784,Crombach,,
4790,Burg-reuland,,
4790,Reuland,,
4791,Thommen,,
4800,Polleur,,
4800,Lambermont,,
4800,Ensival,,
4800,Verviers,,
4800,Petit-rechain,,
4801,Stembert,,
4802,Heusy,,
4820,Dison,,
4821,Andrimont,,
4830,Limbourg,,
4831,Bilstain,,
4834,Goé,,
4837,Baelen,,
4837,Membach,,
4840,Welkenraedt,,
4841,Henri-chapelle,,
4845,Sart-lez-spa,,
4845,Jalhay,,
4850,Moresnet,,
4850,Plombières,,
4850,Montzen,,
4851,Gemmenich,,
4851,Sippenaeken,,
4852,Hombourg,,
4860,Wegnez,,
4860,Pepinster,,
4860,Cornesse,,
4861,Soiron,,
4870,Trooz,,
4870,Nessonvaux,,
4870,Forêt,,
4870,Fraipont,,
4877,Olne,,
4880,Aubel,,
4890,Thimister,,
4890,Thimister-clermont,,
4890,Clermont,,
4900,Spa,,
4910,Polleur,,
4910,La reid,,
4910,Theux,,
4920,Harzé,,
4920,Louveigné,,
4920,Aywaille,,
4920,Ernonheid,,
4920,Sougné-remouchamps,,
4950,Sourbrodt,,
4950,Faymonville,,
4950,Robertville,,
4950,Weismes,,
4960,Bevercé,,
4960,Malmedy,,
4960,Bellevaux-ligneuville,,
4970,Francorchamps,,
4970,Stavelot,,
4980,Trois-ponts,,
4980,Wanne,,
4980,Fosse,,
4983,Basse-bodeux,,
4987,Lorcé,,
4987,Chevron,,
4987,La gleize,,
4987,Stoumont,,
4987,Rahier,,
4990,Lierneux,,
4990,Bra,,
4990,Arbrefontaine,,
6600,Noville,,
6600,Bastogne,,
6600,Longvilly,,
6600,Wardin,,
6600,Villers-la-bonne-eau,,
6630,Martelange,,
6637,Tintange,,
6637,Hollange,,
6637,Fauvillers,,
6640,Morhet,,
6640,Vaux-lez-rosières,,
6640,Vaux-sur-sûre,,
6640,Nives,,
6640,Hompré,,
6640,Sibret,,
6642,Juseret,,
6660,Houffalize,,
6660,Nadrin,,
6661,Tailles,,
6661,Mont,,
6662,Tavigny,,
6663,Mabompré,,
6666,Wibrin,,
6670,Gouvy,,
6670,Limerlé,,
6671,Bovigny,,
6672,Beho,,
6673,Cherain,,
6674,Montleban,,
6680,Tillet,,
6680,Sainte-ode,,
6680,Amberloup,,
6681,Lavacherie,,
6686,Flamierge,,
6687,Bertogne,,
6688,Longchamps,,
6690,Bihain,,
6690,Vielsalm,,
6692,Petit-thier,,
6698,Grand-halleux,,
6700,Heinsch,Deelgemeente,6700 Arlon
6700,Arlon,Stad,
6700,Bonnert,Deelgemeente,6700 Arlon
6700,Toernich,Deelgemeente,6700 Arlon
6704,Guirsch,Deelgemeente,6700 Arlon
6706,Autelbas,Deelgemeente,6700 Arlon
6717,Thiaumont,,
6717,Nothomb,,
6717,Attert,,
6717,Tontelange,,
6717,Nobressart,,
6720,Hachy,,
6720,Habay,,
6720,Habay-la-neuve,,
6721,Anlier,,
6723,Habay-la-vieille,,
6724,Houdemont,,
6724,Rulles,,
6730,Saint-vincent,,
6730,Rossignol,,
6730,Tintigny,,
6730,Bellefontaine,,
6740,Villers-sur-semois,,
6740,Sainte-marie-sur-semois,,
6740,Etalle,,
6741,Vance,,
6742,Chantemelle,,
6743,Buzenol,,
6747,Meix-le-tige,,
6747,Châtillon,,
6747,Saint-léger,,
6750,Signeulx,,
6750,Musson,,
6750,Mussy-la-ville,,
6760,Bleid,,
6760,Virton,,
6760,Ruette,,
6760,Ethe,,
6761,Latour,,
6762,Saint-mard,,
6767,Dampicourt,,
6767,Lamorteau,,
6767,Rouvroy,,
6767,Torgny,,
6767,Harnoncourt,,
6769,Villers-la-loue,,
6769,Meix-devant-virton,,
6769,Sommethonne,,
6769,Gérouville,,
6769,Robelmont,,
6780,Hondelange,,
6780,Wolkrange,,
6780,Messancy,,
6781,Sélange,,
6782,Habergy,,
6790,Aubange,,
6791,Athus,,
6792,Halanzy,,
6792,Rachecourt,,
6800,Sainte-marie-chevigny,,
6800,Recogne,,
6800,Freux,,
6800,Remagne,,
6800,Moircy,,
6800,Bras,,
6800,Libramont-chevigny,,
6800,Saint-pierre,,
6810,Izel,,
6810,Jamoigne,,
6810,Chiny,,
6811,Les bulles,,
6812,Suxy,,
6813,Termes,,
6820,Sainte-cécile,,
6820,Muno,,
6820,Florenville,,
6820,Fontenoille,,
6821,Lacuisine,,
6823,Villers-devant-orval,,
6824,Chassepierre,,
6830,Rochehaut,,
6830,Poupehan,,
6830,Bouillon,,
6830,Les hayons,,
6831,Noirfontaine,,
6832,Sensenruth,,
6833,Ucimont,,
6833,Vivy,,
6834,Bellevaux,,
6836,Dohan,,
6838,Corbion,,
6840,Longlier,,
6840,Grandvoir,,
6840,Grapfontaine,,
6840,Hamipré,,
6840,Neufchâteau,,
6840,Tournay,,
6850,Paliseul,,
6850,Carlsbourg,,
6850,Offagne,,
6851,Nollevaux,,
6852,Maissin,,
6852,Opont,,
6853,Framont,,
6856,Fays-les-veneurs,,
6860,Assenois,,
6860,Léglise,,
6860,Mellier,,
6860,Ebly,,
6860,Witry,,
6870,Hatrival,,
6870,Arville,,
6870,Vesqueville,,
6870,Saint-hubert,,
6870,Mirwart,,
6870,Awenne,,
6880,Bertrix,,
6880,Auby-sur-semois,,
6880,Jehonville,,
6880,Orgeo,,
6880,Cugnon,,
6887,Herbeumont,,
6887,Straimont,,
6887,Saint-médard,,
6890,Anloy,,
6890,Smuid,,
6890,Ochamps,,
6890,Redu,,
6890,Villance,,
6890,Libin,,
6890,Transinne,,
6900,Roy,,
6900,Humain,,
6900,Waha,,
6900,On,,
6900,Hargimont,,
6900,Marche-en-famenne,,
6900,Aye,,
6920,Sohier,,
6920,Wellin,,
6921,Chanly,,
6922,Halma,,
6924,Lomprez,,
6927,Grupont,,
6927,Resteigne,,
6927,Tellin,,
6927,Bure,,
6929,Daverdisse,,
6929,Porcheresse,,
6929,Haut-fays,,
6929,Gembes,,
6940,Grandhan,,
6940,Barvaux-sur-ourthe,,
6940,Durbuy,,
6940,Wéris,,
6940,Septon,,
6941,Villers-sainte-gertrude,,
6941,Bomal-sur-ourthe,,
6941,Borlon,,
6941,Tohogne,,
6941,Heyd,,
6941,Izier,,
6941,Bende,,
6950,Harsin,,
6950,Nassogne,,
6951,Bande,,
6952,Grune,,
6953,Masbourg,,
6953,Forrières,,
6953,Lesterny,,
6953,Ambly,,
6960,Dochamps,,
6960,Vaux-chavanne,,
6960,Grandmenil,,
6960,Odeigne,,
6960,Malempré,,
6960,Manhay,,
6960,Harre,,
6970,Tenneville,,
6971,Champlon,,
6972,Erneuville,,
6980,Beausaint,,
6980,La roche-en-ardenne,,
6982,Samrée,,
6983,Ortho,,
6984,Hives,,
6986,Halleux,,
6987,Beffe,,
6987,Hodister,,
6987,Rendeux,,
6987,Marcourt,,
6990,Marenne,,
6990,Hotton,,
6990,Hampteau,,
6990,Fronville,,
6997,Mormont,,
6997,Soy,,
6997,Erezée,,
6997,Amonines,,
5000,Beez,,
5000,Namur,,
5001,Belgrade,,
5002,Saint-servais,,
5003,Saint-marc,,
5004,Bouge,,
5020,Suarlée,,
5020,Flawinne,,
5020,Malonne,,
5020,Daussoulx,,
5020,Champion,,
5020,Vedrin,,
5020,Temploux,,
5021,Boninne,,
5022,Cognelée,,
5024,Gelbressée,,
5024,Marche-les-dames,,
5030,Gembloux,,
5030,Grand-manil,,
5030,Beuzet,,
5030,Lonzée,,
5030,Ernage,,
5030,Sauvenière,,
5031,Grand-leez,,
5032,Isnes,,
5032,Mazy,,
5032,Corroy-le-château,,
5032,Bossière,,
5032,Bothey,,
5060,Moignelée,,
5060,Sambreville,,
5060,Auvelais,,
5060,Falisolle,,
5060,Tamines,,
5060,Velaine-sur-sambre,,
5060,Keumiée,,
5060,Arsimont,,
5070,Fosses-la-ville,,
5070,Aisemont,,
5070,Le roux,,
5070,Sart-eustache,,
5070,Sart-saint-laurent,,
5070,Vitrival,,
5080,Emines,,
5080,Villers-lez-heest,,
5080,Rhisnes,,
5080,Warisoulx,,
5080,La bruyère,,
5081,Bovesse,,
5081,Saint-denis-bovesse,,
5081,Meux,,
5100,Jambes,,
5100,Naninne,,
5100,Wépion,,
5100,Dave,,
5100,Wierde,,
5101,Lives-sur-meuse,,
5101,Loyers,,
5101,Erpent,,
5140,Boignée,,
5140,Tongrinne,,
5140,Ligny,,
5140,Sombreffe,,
5150,Floreffe,,
5150,Franière,,
5150,Floriffoux,,
5150,Soye,,
5170,Profondeville,,
5170,Bois-de-villers,,
5170,Rivière,,
5170,Arbre,,
5170,Lustin,,
5170,Lesve,,
5190,Mornimont,,
5190,Balâtre,,
5190,Ham-sur-sambre,,
5190,Jemeppe-sur-sambre,,
5190,Moustier-sur-sambre,,
5190,Onoz,,
5190,Saint-martin,,
5190,Spy,,
5300,Sclayn,,
5300,Vezin,,
5300,Maizeret,,
5300,Namêche,,
5300,Landenne,,
5300,Seilles,,
5300,Andenne,,
5300,Bonneville,,
5300,Coutisse,,
5300,Thon,,
5310,Aische-en-refail,,
5310,Liernu,,
5310,Noville-sur-méhaigne,,
5310,Mehaigne,,
5310,Eghezée,,
5310,Bolinne,,
5310,Longchamps,,
5310,Boneffe,,
5310,Upigny,,
5310,Dhuy,,
5310,Taviers,,
5310,Branchon,,
5310,Saint-germain,,
5310,Waret-la-chaussée,,
5310,Hanret,,
5310,Leuze,,
5330,Assesse,,
5330,Maillen,,
5330,Sart-bernard,,
5332,Crupet,,
5333,Sorinne-la-longue,,
5334,Florée,,
5336,Courrière,,
5340,Sorée,,
5340,Gesves,,
5340,Haltinne,,
5340,Faulx-les-tombes,,
5340,Mozet,,
5350,Ohey,,
5350,Evelette,,
5351,Haillot,,
5352,Perwez-haillot,,
5353,Goesnes,,
5354,Jallet,,
5360,Natoye,,
5360,Hamois,,
5361,Scy,,
5361,Mohiville,,
5362,Achet,,
5363,Emptinne,,
5364,Schaltin,,
5370,Porcheresse,,
5370,Havelange,,
5370,Flostoy,,
5370,Jeneffe,,
5370,Barvaux-condroz,,
5370,Verlée,,
5372,Méan,,
5374,Maffe,,
5376,Miécret,,
5377,Heure,,
5377,Hogne,,
5377,Waillet,,
5377,Baillonville,,
5377,Nettinne,,
5377,Sinsin,,
5377,Bonsin,,
5377,Somme-leuze,,
5377,Noiseux,,
5380,Noville-les-bois,,
5380,Tillier,,
5380,Hingeon,,
5380,Franc-waret,,
5380,Cortil-wodon,,
5380,Marchovelette,,
5380,Bierwart,,
5380,Fernelmont,,
5380,Hemptinne,,
5380,Pontillas,,
5380,Forville,,
5500,Dréhance,,
5500,Bouvignes-sur-meuse,,
5500,Falmagne,,
5500,Falmignoul,,
5500,Anseremme,,
5500,Dinant,,
5500,Furfooz,,
5501,Lisogne,,
5502,Thynes,,
5503,Sorinnes,,
5504,Foy-notre-dame,,
5520,Onhaye,,
5520,Anthée,,
5521,Serville,,
5522,Falaen,,
5523,Weillen,,
5523,Sommière,,
5524,Gerin,,
5530,Evrehailles,,
5530,Durnal,,
5530,Mont,,
5530,Purnode,,
5530,Godinne,,
5530,Houx,,
5530,Yvoir,,
5530,Spontin,,
5530,Dorinne,,
5537,Sosoye,,
5537,Anhée,,
5537,Denée,,
5537,Haut-le-wastia,,
5537,Annevoie-rouillon,,
5537,Bioul,,
5537,Warnant,,
5540,Waulsort,,
5540,Hermeton-sur-meuse,,
5540,Hastière,,
5540,Hastière-lavaux,,
5541,Hastière-par-delà,,
5542,Blaimont,,
5543,Heer,,
5544,Agimont,,
5550,Nafraiture,,
5550,Laforet,,
5550,Bohan,,
5550,Alle,,
5550,Sugny,,
5550,Vresse-sur-semois,,
5550,Chairière,,
5550,Membre,,
5550,Bagimont,,
5550,Pussemange,,
5550,Mouzaive,,
5550,Orchimont,,
5555,Graide,,
5555,Monceau-en-ardenne,,
5555,Bellefontaine,,
5555,Cornimont,,
5555,Gros-fays,,
5555,Naomé,,
5555,Oizy,,
5555,Baillamont,,
5555,Petit-fays,,
5555,Bièvre,,
5560,Finnevaux,,
5560,Mesnil-eglise,,
5560,Mesnil-saint-blaise,,
5560,Ciergnon,,
5560,Houyet,,
5560,Hulsonniaux,,
5561,Celles,,
5562,Custinne,,
5563,Hour,,
5564,Wanlin,,
5570,Vonêche,,
5570,Honnay,,
5570,Javingue,,
5570,Wancennes,,
5570,Winenne,,
5570,Felenne,,
5570,Baronville,,
5570,Dion,,
5570,Feschaux,,
5570,Beauraing,,
5571,Wiesme,,
5572,Focant,,
5573,Martouzin-neuville,,
5574,Pondrôme,,
5575,Patignies,,
5575,Bourseigne-neuve,,
5575,Bourseigne-vieille,,
5575,Malvoisin,,
5575,Sart-custinne,,
5575,Houdremont,,
5575,Louette-saint-denis,,
5575,Willerzie,,
5575,Louette-saint-pierre,,
5575,Rienne,,
5575,Vencimont,,
5575,Gedinne,,
5576,Froidfontaine,,
5580,Wavreille,,
5580,Ave-et-auffe,,
5580,Lavaux-saint-anne,,
5580,Mont-gauthier,,
5580,Jemelle,,
5580,Eprave,,
5580,Villers-sur-lesse,,
5580,Lessive,,
5580,Han-sur-lesse,,
5580,Rochefort,,
5580,Buissonville,,
5590,Conneux,,
5590,Pessoux,,
5590,Serinchamps,,
5590,Braibant,,
5590,Chevetogne,,
5590,Leignon,,
5590,Haversin,,
5590,Sovet,,
5590,Achêne,,
5590,Ciney,,
5600,Roly,,
5600,Samart,,
5600,Romedenne,,
5600,Fagnolle,,
5600,Jamagne,,
5600,Villers-en-fagne,,
5600,Surice,,
5600,Jamiolle,,
5600,Franchimont,,
5600,Merlemont,,
5600,Villers-le-gambon,,
5600,Sart-en-fagne,,
5600,Omezée,,
5600,Neuville,,
5600,Philippeville,,
5600,Sautour,,
5600,Vodecée,,
5620,Flavion,,
5620,Corenne,,
5620,Rosée,,
5620,Saint-aubin,,
5620,Florennes,,
5620,Morville,,
5620,Hemptinne-lez-florennes,,
5621,Hanzinelle,,
5621,Hanzinne,,
5621,Morialmé,,
5621,Thy-le-baudouin,,
5630,Daussois,,
5630,Cerfontaine,,
5630,Villers-deux-eglises,,
5630,Senzeille,,
5630,Silenrieux,,
5630,Soumoy,,
5640,Graux,,
5640,Biesme,,
5640,Saint-gérard,,
5640,Biesmerée,,
5640,Mettet,,
5640,Oret,,
5641,Furnaux,,
5644,Ermeton-sur-biert,,
5646,Stave,,
5650,Castillon,,
5650,Vogenée,,
5650,Fraire,,
5650,Pry,,
5650,Walcourt,,
5650,Chastrès,,
5650,Yves-gomezée,,
5650,Fontenelle,,
5650,Clermont,,
5651,Thy-le-château,,
5651,Somzée,,
5651,Laneffe,,
5651,Berzée,,
5651,Tarcienne,,
5651,Gourdinne,,
5651,Rognée,,
5660,Aublain,,
5660,Dailly,,
5660,Presgaux,,
5660,Pesche,,
5660,Boussu-en-fagne,,
5660,Petigny,,
5660,Mariembourg,,
5660,Frasnes,,
5660,Petite-chapelle,,
5660,Couvin,,
5660,Brûly,,
5660,Gonrieux,,
5660,Brûly-de-pesche,,
5660,Cul-des-sarts,,
5670,Dourbes,,
5670,Vierves-sur-viroin,,
5670,Oignies-en-thiérache,,
5670,Treignes,,
5670,Le mesnil,,
5670,Olloy-sur-viroin,,
5670,Viroinval,,
5670,Nismes,,
5670,Mazée,,
5680,Romerée,,
5680,Gimnée,,
5680,Soulme,,
5680,Gochenée,,
5680,Vaucelles,,
5680,Matagne-la-grande,,
5680,Doische,,
5680,Matagne-la-petite,,
5680,Niverlée,,
5680,Vodelée,,
1500,Halle,Stad,
1501,Buizingen,Deelgemeente,1500 Halle
1502,Lembeek,Deelgemeente,1500 Halle
1540,Herfelingen,Deelgemeente,1540 Herne
1540,Herne,Gemeente,
1541,Sint-pieters-kapelle,Deelgemeente,1540 Herne
1547,Bever,Gemeente,
1560,Hoeilaart,Gemeente,
1570,Vollezele,Deelgemeente,1570 Galmaarden
1570,Galmaarden,Gemeente,
1570,Tollembeek,Deelgemeente,1570 Galmaarden
1600,Sint-Laureins-Berchem,Deelgemeente,1600 Sint-Pieters-Leeuw
1600,Oudenaken,Deelgemeente,1600 Sint-Pieters-Leeuw
1600,Sint-Pieters-Leeuw,Gemeente,
1601,Ruisbroek,Deelgemeente,1600 Sint-Pieters-Leeuw
1602,Vlezenbeek,Deelgemeente,1600 Sint-Pieters-Leeuw
1620,Drogenbos,Gemeente,
1630,Linkebeek,Gemeente,
1640,Sint-Genesius-Rode,Gemeente,
1650,Beersel,Gemeente,
1651,Lot,Deelgemeente,1650 Beersel
1652,Alsemberg,Deelgemeente,1650 Beersel
1653,Dworp,Deelgemeente,1650 Beersel
1654,Huizingen,Deelgemeente,1650 Beersel
1670,Pepingen,Gemeente,
1670,Bogaarden,Deelgemeente,1670 Pepingen
1670,Heikruis,Deelgemeente,1670 Pepingen
1671,Elingen,Deelgemeente,1670 Pepingen
1673,Beert,Deelgemeente,1670 Pepingen
1674,Bellingen,Deelgemeente,1670 Pepingen
1700,Dilbeek,Gemeente,
1700,Sint-ulriks-kapelle,Deelgemeente,1700 Dilbeek
1700,Sint-martens-bodegem,Deelgemeente,1700 Dilbeek
1701,Itterbeek,Deelgemeente,1700 Dilbeek
1702,Groot-bijgaarden,Deelgemeente,1700 Dilbeek
1703,Schepdaal,Deelgemeente,1700 Dilbeek
1730,Kobbegem,Deelgemeente,1730 Asse
1730,Bekkerzeel,Deelgemeente,1730 Asse
1730,Mollem,Deelgemeente,1730 Asse
1730,Asse,Gemeente,
1731,Zellik,Deelgemeente,1730 Asse
1731,Relegem,Deelgemeente,1730 Asse
1740,Ternat,Gemeente,
1741,Wambeek,Deelgemeente,1740 Ternat
1742,Sint-Katherina-Lombeek,Deelgemeente,1740 Ternat
1745,Opwijk,Gemeente,
1745,Mazenzele,Deelgemeente,1745 Opwijk
1750,Gaasbeek,Deelgemeente,1750 Lennik
1750,Sint-kwintens-lennik,Deelgemeente,1750 Lennik
1750,Lennik,Gemeente,
1750,Sint-martens-lennik,Deelgemeente,1750 Lennik
1755,Kester,Deelgemeente,1755 Gooik
1755,Leerbeek,Deelgemeente,1755 Gooik
1755,Gooik,Gemeente,
1755,Oetingen,Deelgemeente,1755 Gooik
1760,Onze-Lieve-Vrouw-Lombeek,Deelgemeente,1760 Roosdaal
1760,Roosdaal,Gemeente,
1760,Pamel,Deelgemeente,1760 Roosdaal
1760,Strijtem,Deelgemeente,1760 Roosdaal
1761,Borchtlombeek,Deelgemeente,1760 Roosdaal
1770,Liedekerke,Gemeente,
1780,Wemmel,Gemeente,
1785,Peizegem,Deelgemeente,1785 Merchtem
1785,Brussegem,Deelgemeente,1785 Merchtem
1785,Hamme,Deelgemeente,1785 Merchtem
1785,Merchtem,Gemeente,
1790,Essene,Deelgemeente,1790 Affligem
1790,Teralfene,Deelgemeente,1790 Affligem
1790,Affligem,Gemeente,
1790,Hekelgem,Deelgemeente,1790 Affligem
1800,Vilvoorde,Stad,
1800,Peutie,Deelgemeente,1800 Vilvoorde
1820,Melsbroek,Deelgemeente,1820 Steenokkerzeel
1820,Perk,Deelgemeente,1820 Steenokkerzeel
1820,Steenokkerzeel,Gemeente,
1830,Machelen,Gemeente,
1831,Diegem,Deelgemeente,1830 Machelen
1840,Londerzeel,Gemeente,
1840,Steenhuffel,Deelgemeente,1840 Londerzeel
1840,Malderen,Deelgemeente,1840 Londerzeel
1850,Grimbergen,Gemeente,
1851,Humbeek,Deelgemeente,1850 Grimbergen
1852,Beigem,Deelgemeente,1850 Grimbergen
1853,Strombeek-bever,Deelgemeente,1850 Grimbergen
1860,Meise,Gemeente,
1861,Wolvertem,Deelgemeente,1860 Meise
1880,Nieuwenrode,Deelgemeente,1880 Kapelle-op-Den-Bos
1880,Ramsdonk,Deelgemeente,1880 Kapelle-op-Den-Bos
1880,Kapelle-op-Den-Bos,Gemeente,
1910,Nederokkerzeel,Deelgemeente,1910 Kampenhout
1910,Berg,Deelgemeente,1910 Kampenhout
1910,Buken,Deelgemeente,1910 Kampenhout
1910,Kampenhout,Gemeente,
1930,Zaventem,Gemeente,
1930,Nossegem,Deelgemeente,1930 Zaventem
1932,Sint-Stevens-Woluwe,Deelgemeente,1930 Zaventem
1933,Sterrebeek,Deelgemeente,1930 Zaventem
1950,Kraainem,Gemeente,
1970,Wezembeek-Oppem,Gemeente,
1980,Eppegem,Deelgemeente,1980 Zemst
